Url,Multiple title tags
https://whattime.city/augusta-me/,"Current Time in Augusta, United States | whattime.city"
https://whattime.city/augusta/,"Current Time in Augusta, United States | whattime.city"
https://whattime.city/bidar-fort/,"Current Time in Bidar, India | whattime.city"
https://whattime.city/bidar/,"Current Time in Bidar, India | whattime.city"
https://whattime.city/charleston-wv/,"Current Time in Charleston, United States | whattime.city"
https://whattime.city/charleston/,"Current Time in Charleston, United States | whattime.city"
https://whattime.city/concord-ca/,"Current Time in Concord, United States | whattime.city"
https://whattime.city/concord-nh/,"Current Time in Concord, United States | whattime.city"
https://whattime.city/fayetteville-ar/,"Current Time in Fayetteville, United States | whattime.city"
https://whattime.city/fayetteville-nc/,"Current Time in Fayetteville, United States | whattime.city"
https://whattime.city/glendale-az/,"Current Time in Glendale, United States | whattime.city"
https://whattime.city/glendale-ca/,"Current Time in Glendale, United States | whattime.city"
https://whattime.city/jackson-wy/,"Current Time in Jackson, United States | whattime.city"
https://whattime.city/jackson/,"Current Time in Jackson, United States | whattime.city"
https://whattime.city/maraba/,"Current Time in Marabá, Brazil | whattime.city"
https://whattime.city/pasadena-ca/,"Current Time in Pasadena, United States | whattime.city"
https://whattime.city/pasadena-tx/,"Current Time in Pasadena, United States | whattime.city"
https://whattime.city/peoria-az/,"Current Time in Peoria, United States | whattime.city"
https://whattime.city/peoria-il/,"Current Time in Peoria, United States | whattime.city"
https://whattime.city/portland-me/,"Current Time in Portland, United States | whattime.city"
https://whattime.city/portland/,"Current Time in Portland, United States | whattime.city"
https://whattime.city/santarem-pa/,"Current Time in Marabá, Brazil | whattime.city"
https://whattime.city/springfield-il/,"Current Time in Springfield, United States | whattime.city"
https://whattime.city/springfield-mo/,"Current Time in Springfield, United States | whattime.city"
https://whattime.city/suzhou-anhui/,"Current Time in Suzhou, China | whattime.city"
https://whattime.city/suzhou/,"Current Time in Suzhou, China | whattime.city"
https://whattime.city/taizhou-jiangsu/,"Current Time in Taizhou, China | whattime.city"
https://whattime.city/taizhou-zhejiang/,"Current Time in Taizhou, China | whattime.city"
https://whattime.city/wilmington-nc/,"Current Time in Wilmington, United States | whattime.city"
https://whattime.city/wilmington/,"Current Time in Wilmington, United States | whattime.city"
